ncessch,year,school_name,Include,exclude,school_status,school_type,charter,school_level,enrollment,virtual,magnet,street_location,city_location
120159003259.00,2004,ACHIEVEMENT ACADEMY,0,FALSE,open,regular school,yes,primary,84,no,Missing/not reported,716 E BELLA VISTA STREET,LAKELAND
120159003259.00,2005,ACHIEVEMENT ACADEMY,0,FALSE,open,regular school,yes,primary,89,no,Missing/not reported,716 E BELLA VISTA ST,LAKELAND
120159003259.00,2006,ACHIEVEMENT ACADEMY,0,FALSE,open,regular school,yes,primary,86,no,No,716 E BELLA VISTA ST,LAKELAND
120159003259.00,2007,ACHIEVEMENT ACADEMY,0,FALSE,open,regular school,yes,primary,88,no,No,716 E BELLA VISTA ST,LAKELAND
120159003259.00,2008,ACHIEVEMENT ACADEMY,0,FALSE,open,regular school,yes,primary,89,no,No,716 EAST BELLA VISTA ST,LAKELAND
120159003259.00,2009,ACHIEVEMENT ACADEMY,0,FALSE,open,regular school,yes,primary,90,no,No,716 EAST BELLA VISTA ST,LAKELAND
120159003259.00,2010,ACHIEVEMENT ACADEMY,0,FALSE,open,regular school,yes,primary,90,no,No,716 EAST BELLA VISTA ST,LAKELAND
120159003259.00,2011,ACHIEVEMENT ACADEMY,0,FALSE,open,regular school,yes,primary,90,no,No,716 EAST BELLA VISTA ST,LAKELAND
120159003259.00,2012,ACHIEVEMENT ACADEMY,0,FALSE,open,regular school,yes,primary,102,no,No,716 BELLA VISTA ST EAST,LAKELAND
120159003259.00,2013,ACHIEVEMENT ACADEMY,0,FALSE,open,regular school,yes,primary,157,no,No,716 BELLA VISTA ST EAST,LAKELAND
120159003259.00,2014,ACHIEVEMENT ACADEMY,0,FALSE,open,regular school,yes,primary,157,no,No,716 BELLA VISTA ST E,LAKELAND
120159003259.00,2015,ACHIEVEMENT ACADEMY,0,FALSE,open,regular school,yes,primary,157,no,No,716 BELLA VISTA ST E,LAKELAND
120159003259.00,2016,ACHIEVEMENT ACADEMY,0,FALSE,open,regular school,yes,primary,157,no,No,716 BELLA VISTA ST E,LAKELAND
120159003259.00,2017,ACHIEVEMENT ACADEMY,0,FALSE,open,regular school,yes,prekindergarten,157,no,No,716 BELLA VISTA ST E,LAKELAND
120159003259.00,2018,ACHIEVEMENT ACADEMY,0,TRUE,open,special education school,yes,prekindergarten,157,no,No,716 BELLA VISTA ST E,LAKELAND
120144004007.00,2006,AE LAKESIDE,0,FALSE,open,regular school,no,high,13,,No,1718 E MICHIGAN AVE,ORLANDO
120144004007.00,2007,AE LAKESIDE,0,FALSE,open,regular school,no,other,21,,No,1718 E MICHIGAN AVE,ORLANDO
120144004007.00,2008,AE LAKESIDE,0,FALSE,open,regular school,no,other,0,,No,1718 EAST MICHIGAN AVE,ORLANDO
120012003537.00,1999,ALLIGATOR CREEK STOP CAMP,0,FALSE,new,regular school,no,,13,,Missing/not reported,P. O. BOX 689,RAIFORD
120012003537.00,2000,ALLIGATOR CREEK STOP CAMP,0,FALSE,open,regular school,no,high,14,,Missing/not reported,P. O. BOX 689,RAIFORD
120012003537.00,2001,ALLIGATOR CREEK STOP CAMP,0,FALSE,open,regular school,no,other,23,,Missing/not reported,Missing/not reported,RAIFORD
120012003537.00,2002,ALLIGATOR CREEK STOP CAMP,0,FALSE,open,regular school,no,other,23,,Missing/not reported,Missing/not reported,RAIFORD
120012003537.00,2003,ALLIGATOR CREEK STOP CAMP,0,FALSE,open,regular school,no,other,24,,Missing/not reported,P. O. BOX 689,RAIFORD
120012003537.00,2004,ALLIGATOR CREEK STOP CAMP,0,FALSE,open,regular school,no,other,19,,Missing/not reported,P O BOX 689,RAIFORD
120012003537.00,2005,ALLIGATOR CREEK STOP CAMP,0,TRUE,closed,other/alternative school,not applicable,not applicable,0,,Not applicable,7071 NW 237TH ST,STARKE
120144004007.00,2004,ALTERNATIVE EDUCATION CENTER-LVH,0,FALSE,new,regular school,no,other,0,,Missing/not reported,1718 E MICHIGAN AVE,ORLANDO
